Protein,VIKOR_Rank,EDAS_Rank,SPOTIS_Rank,Ranky_Score_Rank,Ranky_Rank,Borda_Score,Borda_Rank
TGRH88_040240,2808,2379,2751,2751,1704,2478.6,2174
TGRH88_071000,3523,1311,3474,3474,613,2479,2176
TGRH88_032050,1550,2807,1456,1456,5128,2479.4,2177
TGRH88_070760,2349,4063,2288,2288,1412,2480,2178
TGRH88_006440,2913,1349,2856,2856,2427,2480.2,2179
TGRH88_029990,2472,2891,2407,2407,2224,2480.2,2179
TGRH88_020930,3063,874,3015,3015,2442,2481.8,2181
TGRH88_010650,1700,2526,1797,1797,4595,2483,2182
TGRH88_048380,3261,1583,3209,3210,1153,2483.2,2183
TGRH88_067860,899,4606,795,795,5326,2484.2,2184
TGRH88_002200,2130,3732,2055,2055,2452,2484.8,2185
TGRH88_082250,2894,1700,3114,3114,1608,2486,2186
TGRH88_036850,2775,2601,2716,2716,1629,2487.4,2187
TGRH88_023060,2921,1553,2864,2864,2237,2487.8,2188
TGRH88_009750,3092,1243,3043,3043,2029,2490,2189
TGRH88_074880,1933,3684,1848,1848,3146,2491.8,2190
TGRH88_042120,745,5220,640,640,5219,2492.8,2191
TGRH88_076130,2524,3449,2460,2460,1582,2495,2192
TGRH88_079350,2442,3523,2514,2514,1482,2495,2192
TGRH88_006100,1595,2841,1500,1500,5039,2495,2192
TGRH88_014720,1862,3410,1772,1772,3662,2495.6,2195
TGRH88_015760,3044,1347,2995,2995,2097,2495.6,2195
TGRH88_022450,2052,3639,1973,1973,2843,2496,2197
TGRH88_053610,890,4612,787,787,5414,2498,2198
TGRH88_045000,3358,831,3308,3308,1693,2499.6,2199
TGRH88_022560,2657,822,3413,3413,2194,2499.8,2200
TGRH88_077100,2814,2555,2757,2757,1618,2500.2,2201
TGRH88_046830,2176,4173,2105,2105,1943,2500.4,2202
TGRH88_028450,1101,4694,1006,1006,4695,2500.4,2202
TGRH88_072330,1616,4092,1525,1525,3761,2503.8,2204
TGRH88_069250,3393,1457,3341,3341,992,2504.8,2205
TGRH88_076560,2552,3834,2486,2486,1168,2505.2,2206
TGRH88_082050,2776,3408,2717,2717,911,2505.8,2207
TGRH88_062730,1706,3731,1609,1609,3877,2506.4,2208
TGRH88_008790,1606,3351,1513,1513,4555,2507.6,2209
TGRH88_016040,3142,1118,3091,3091,2102,2508.8,2210
TGRH88_039460,2916,1865,2859,2859,2048,2509.4,2211
TGRH88_059350,3580,1001,3532,3532,906,2510.2,2212
TGRH88_061460,3514,771,3465,3465,1336,2510.2,2212
TGRH88_022770,2373,3095,2309,2309,2470,2511.2,2214
TGRH88_044020,2835,2645,2777,2777,1525,2511.8,2215
TGRH88_003870,2480,3100,2415,2415,2151,2512.2,2216
TGRH88_063790,1990,2323,2747,2747,2756,2512.6,2217
TGRH88_080560,3557,903,3510,3510,1084,2512.8,2218
TGRH88_007150,2186,2972,2115,2115,3185,2514.6,2219
TGRH88_047780,3291,1744,3242,3241,1057,2515,2220
TGRH88_016490,2439,2295,2378,2378,3095,2517,2221
TGRH88_053390,2432,3534,2370,2370,1879,2517,2221
TGRH88_070980,925,4515,823,823,5504,2518,2223
TGRH88_002260,2079,2933,2049,2049,3481,2518.2,2224
TGRH88_006560,2660,1920,2596,2596,2820,2518.4,2225
TGRH88_033740,782,4622,680,680,5830,2518.8,2226
TGRH88_078900,688,5681,583,583,5062,2519.4,2227
TGRH88_064750,3304,1290,3252,3252,1504,2520.4,2228
TGRH88_073890,1652,4656,1561,1561,3176,2521.2,2229
TGRH88_016540,3068,1475,3020,3020,2031,2522.8,2230
TGRH88_069010,1471,3270,1425,1425,5029,2524,2231
TGRH88_073300,2655,3503,2592,2592,1286,2525.6,2232
TGRH88_036040,1502,3768,1403,1403,4553,2525.8,2233
TGRH88_034010,1843,4157,1751,1751,3130,2526.4,2234
TGRH88_008050,678,4445,573,573,6370,2527.8,2235
TGRH88_057530,3724,551,3679,3679,1014,2529.4,2236
TGRH88_050010,3442,1067,3394,3394,1352,2529.8,2237
TGRH88_042280,3399,1004,3347,3347,1552,2529.8,2237
TGRH88_055890,2341,3507,2280,2280,2252,2532,2239
TGRH88_080430,1950,3890,1865,1865,3091,2532.2,2240
TGRH88_034760,2869,1857,2811,2811,2315,2532.6,2241
TGRH88_069700,3263,1538,3213,3213,1440,2533.4,2242
TGRH88_009650,1478,2730,1378,1378,5707,2534.2,2243
TGRH88_061560,3469,1317,3419,3419,1052,2535.2,2244
TGRH88_061020,1644,4017,1549,1549,3917,2535.2,2244
TGRH88_058380,3383,1938,3331,3331,698,2536.2,2246
TGRH88_037440,2627,2533,2562,2562,2401,2537,2247
TGRH88_071110,1190,4270,1091,1091,5044,2537.2,2248
TGRH88_082920,3231,2215,3180,3180,880,2537.2,2248
TGRH88_000800,2723,1993,2662,2662,2651,2538.2,2250
TGRH88_005900,1314,3359,1202,1202,5622,2539.8,2251
TGRH88_033000,1538,2889,1442,1442,5389,2540,2252
TGRH88_055230,3001,2535,2949,2949,1273,2541.4,2253
TGRH88_068550,1263,4940,1153,1153,4201,2542,2254
TGRH88_040070,1709,3394,1614,1614,4380,2542.2,2255
TGRH88_040540,2083,4266,2005,2005,2355,2542.8,2256
TGRH88_017800,2292,3012,2232,2232,2947,2543,2257
TGRH88_039380,2384,2917,2320,2320,2782,2544.6,2258
TGRH88_079230,2324,4538,2263,2263,1335,2544.6,2258
TGRH88_048850,2650,3068,2587,2587,1837,2545.8,2260
TGRH88_082480,1928,4739,1840,1840,2385,2546.4,2261
TGRH88_013740,2298,2876,2238,2238,3083,2546.6,2262
TGRH88_012960,2474,3311,2409,2409,2136,2547.8,2263
TGRH88_028240,1886,1324,3591,3591,2351,2548.6,2264
TGRH88_006000,2845,1896,3080,3080,1842,2548.6,2264
TGRH88_033400,2476,3010,2411,2411,2435,2548.6,2264
TGRH88_054290,2392,2292,2456,2456,3153,2549.8,2267
TGRH88_073390,3454,1076,3403,3403,1430,2553.2,2268
TGRH88_042060,1059,5095,957,957,4703,2554.2,2269
TGRH88_046540,2963,1934,2909,2909,2067,2556.4,2270
TGRH88_019860,1827,2666,1733,1733,4823,2556.4,2270
TGRH88_076930,1776,3092,1679,1679,4557,2556.6,2272
TGRH88_030440,2368,3267,2305,2305,2546,2558.2,2273
TGRH88_058940,1389,4140,1270,1270,4726,2559,2274
TGRH88_060440,2834,3129,2776,2776,1281,2559.2,2275
TGRH88_078680,3516,1050,3467,3467,1298,2559.6,2276
TGRH88_076240,3278,1813,3228,3228,1256,2560.6,2277
TGRH88_028890,1857,1965,1766,1766,5449,2560.6,2277
TGRH88_047330,3186,2063,3135,3135,1285,2560.8,2279
TGRH88_061890,1147,3972,1048,1048,5593,2561.6,2280
TGRH88_021580,1082,3620,984,984,6140,2562,2281
TGRH88_047240,3608,592,4011,4011,590,2562.4,2282
TGRH88_014860,2318,2809,2259,2259,3182,2565.4,2283
TGRH88_016120,1541,3109,1445,1445,5296,2567.2,2284
TGRH88_005650,2748,1669,2692,2692,3045,2569.2,2285
TGRH88_080770,2250,4236,2185,2185,1999,2571,2286
TGRH88_030120,3325,1337,3273,3273,1647,2571,2286
TGRH88_029230,1782,2885,1712,1712,4765,2571.2,2288
TGRH88_009660,2051,2584,1972,1972,4278,2571.4,2289
TGRH88_081580,3334,2702,3283,3282,263,2572.8,2290
TGRH88_026100,3204,772,3152,3152,2586,2573.2,2291
TGRH88_019030,2598,2546,2535,2535,2655,2573.8,2292
TGRH88_079210,3357,2076,3307,3307,827,2574.8,2293
TGRH88_019980,2557,2782,2492,2492,2551,2574.8,2293
TGRH88_076670,2952,1718,2899,2899,2410,2575.6,2295
TGRH88_060990,3075,2367,3026,3026,1392,2577.2,2296
TGRH88_002940,1765,2710,1668,1668,5081,2578.4,2297
TGRH88_033420,3249,1395,3503,3503,1244,2578.8,2298
TGRH88_042710,3235,1694,3185,3185,1609,2581.6,2299
TGRH88_001100,1247,3356,1139,1139,6040,2584.2,2300
TGRH88_068340,1768,5325,1671,1671,2488,2584.6,2301
TGRH88_036050,2786,2100,2727,2727,2594,2586.8,2302
TGRH88_049770,2330,3414,2270,2270,2650,2586.8,2302
TGRH88_006820,683,4579,578,578,6529,2589.4,2304
TGRH88_041720,2520,3226,2455,2455,2296,2590.4,2305
TGRH88_013180,1436,3015,1324,1324,5854,2590.6,2306
TGRH88_062430,2105,3398,2026,2026,3404,2591.8,2307
TGRH88_008590,2190,2801,2119,2119,3730,2591.8,2307
TGRH88_082830,2680,3917,2618,2618,1128,2592.2,2309
TGRH88_006520,3112,2235,3060,3060,1502,2593.8,2310
TGRH88_075000,2917,3348,2860,2861,985,2594.2,2311
TGRH88_041930,2717,1254,4045,4045,910,2594.2,2311
TGRH88_037590,1086,4220,987,987,5696,2595.2,2313
TGRH88_038070,3082,2248,3033,3033,1585,2596.2,2314
TGRH88_075330,3014,3087,2962,2963,961,2597.4,2315
TGRH88_026580,3983,317,3944,3944,805,2598.6,2316
TGRH88_061910,2531,2458,2467,2467,3071,2598.8,2317
TGRH88_022240,1388,3133,1269,1269,5941,2600,2318
TGRH88_048590,3292,1845,3241,3242,1384,2600.8,2319
TGRH88_036180,3760,937,3716,3716,876,2601,2320
TGRH88_037760,2165,4221,2093,2093,2441,2602.6,2321
TGRH88_019590,742,4786,639,639,6211,2603.4,2322
TGRH88_026400,1107,3805,1012,1012,6083,2603.8,2323
TGRH88_007540,3058,1297,3009,3009,2652,2605,2324
TGRH88_045340,1964,2931,1878,1878,4376,2605.4,2325
TGRH88_065150,2728,3444,2666,2666,1532,2607.2,2326
TGRH88_070820,2116,5088,2039,2039,1757,2607.8,2327
TGRH88_006140,1688,3230,1612,1612,4902,2608.8,2328
TGRH88_078630,2689,2520,2627,2627,2584,2609.4,2329
TGRH88_044630,3556,1144,3509,3509,1330,2609.6,2330
TGRH88_029090,2481,3780,2416,2416,1967,2612,2331
TGRH88_047530,2443,1725,3429,3429,2037,2612.6,2332
TGRH88_023730,3070,2250,3022,3022,1699,2612.6,2332
TGRH88_013580,3530,1336,3482,3482,1235,2613,2334
TGRH88_069260,2605,2544,2674,2674,2570,2613.4,2335
TGRH88_061160,2620,3852,2552,2553,1491,2613.6,2336
TGRH88_023660,2625,2861,2560,2560,2472,2615.6,2337
TGRH88_035680,2278,4224,2215,2216,2148,2616.2,2338
TGRH88_045940,3057,1914,3008,3008,2100,2617.4,2339
TGRH88_047440,1734,3664,1641,1641,4414,2618.8,2340
TGRH88_079520,2427,4628,2364,2364,1319,2620.4,2341
TGRH88_063420,3481,1868,3431,3431,892,2620.6,2342
TGRH88_065050,3595,1579,3550,3550,836,2622,2343
TGRH88_012430,2365,2146,2302,2302,3996,2622.2,2344
TGRH88_055350,3372,1988,3322,3322,1119,2624.6,2345
TGRH88_044810,2451,3807,2389,2389,2088,2624.8,2346
TGRH88_021660,1902,2557,2946,2946,2775,2625.2,2347
TGRH88_067680,2302,3045,2244,2244,3295,2626,2348
TGRH88_002020,2588,2493,2839,2839,2384,2628.6,2349
TGRH88_043010,3477,1665,3427,3427,1157,2630.6,2350
TGRH88_084910,1414,4691,1303,1303,4450,2632.2,2351
TGRH88_035420,3341,1262,3289,3290,1980,2632.4,2352
TGRH88_030050,1642,3440,1547,1547,4993,2633.8,2353
TGRH88_058840,3361,2166,3311,3311,1020,2633.8,2353
TGRH88_063610,3065,2451,3017,3017,1619,2633.8,2353
TGRH88_014940,3271,557,4306,4306,732,2634.4,2356
TGRH88_062250,1625,3483,1534,1534,4997,2634.6,2357
TGRH88_080630,3597,1786,3551,3551,691,2635.2,2358
TGRH88_069610,3135,1485,3655,3655,1253,2636.6,2359
TGRH88_064740,3542,1191,3494,3494,1464,2637,2360
TGRH88_075760,2820,3795,2761,2761,1050,2637.4,2361
TGRH88_060210,2269,3582,2206,2206,2927,2638,2362
TGRH88_025950,3492,760,3442,3442,2056,2638.4,2363
TGRH88_013010,2239,3001,2173,2173,3619,2641,2364
TGRH88_046780,947,5366,847,847,5198,2641,2364
TGRH88_007800,1092,3841,993,993,6286,2641,2364
TGRH88_074000,865,5885,762,762,4937,2642.2,2367
TGRH88_020090,1540,3912,1672,1672,4422,2643.6,2368
TGRH88_061960,2006,4407,1924,1924,2971,2646.4,2369
TGRH88_033300,2342,3803,2281,2281,2531,2647.6,2370
TGRH88_022870,3294,1377,3244,3244,2087,2649.2,2371
TGRH88_044620,2201,4296,2130,2130,2492,2649.8,2372
TGRH88_070670,866,6166,763,763,4696,2650.8,2373
TGRH88_055940,3618,1445,3570,3569,1059,2652.2,2374
TGRH88_055570,3203,2306,3151,3151,1456,2653.4,2375
TGRH88_015030,3188,1642,3183,3183,2079,2655,2376
TGRH88_031810,816,5268,713,713,5767,2655.4,2377
TGRH88_015290,3080,1270,3031,3031,2865,2655.4,2377
TGRH88_042730,2110,3029,2032,2032,4075,2655.6,2379
TGRH88_020450,3736,233,3873,3873,1565,2656,2380
TGRH88_064200,2862,2453,2804,2804,2360,2656.6,2381
TGRH88_012140,3370,1072,3319,3319,2203,2656.6,2381
TGRH88_005060,1875,3053,1784,1784,4789,2657,2383
TGRH88_003390,2000,3632,1919,1919,3816,2657.2,2384
TGRH88_031050,3125,2499,3073,3073,1516,2657.2,2384
TGRH88_003850,1626,3781,1535,1535,4811,2657.6,2386
TGRH88_022710,1159,3929,1056,1056,6089,2657.8,2387
TGRH88_036630,2563,3196,2543,2543,2446,2658.2,2388
TGRH88_018990,3395,1483,3343,3343,1730,2658.8,2389
TGRH88_066140,3913,984,3874,3874,651,2659.2,2390
TGRH88_015830,2935,1577,2878,2878,3037,2661,2391
TGRH88_007100,4052,87,4012,4012,1148,2662.2,2392
TGRH88_029550,3471,1542,3421,3421,1462,2663.4,2393
TGRH88_023830,2603,2736,2539,2539,2908,2665,2394
TGRH88_052110,1008,4828,905,905,5682,2665.6,2395
TGRH88_077860,1052,5546,951,951,4845,2669,2396
TGRH88_024670,2579,3850,2517,2517,1884,2669.4,2397
TGRH88_075260,2425,3221,2362,2362,2979,2669.8,2398
TGRH88_032760,1583,4142,1488,1488,4659,2672,2399
TGRH88_070530,1297,5180,1183,1183,4517,2672,2399
TGRH88_063200,2138,5146,2063,2063,1950,2672,2399
TGRH88_074430,3743,1061,3699,3699,1161,2672.6,2402
TGRH88_048820,2482,3452,2417,2417,2598,2673.2,2403
TGRH88_007010,3490,926,3440,3440,2071,2673.4,2404
TGRH88_017430,2345,2357,2284,2284,4110,2676,2405
TGRH88_074830,2906,3714,2849,2849,1063,2676.2,2406
TGRH88_081630,2272,5182,2209,2209,1521,2678.6,2407
TGRH88_066180,1075,5311,976,976,5059,2679.4,2408
TGRH88_017970,2942,1659,2885,2885,3027,2679.6,2409
TGRH88_001950,1883,2713,1791,1791,5221,2679.8,2410
TGRH88_001190,2502,2058,2435,2435,3970,2680,2411
TGRH88_011980,987,4785,883,883,5866,2680.8,2412
TGRH88_085890,1355,4507,1236,1236,5073,2681.4,2413
TGRH88_025440,2265,3584,2202,2202,3156,2681.8,2414
TGRH88_055170,1223,5069,1121,1121,4875,2681.8,2414
TGRH88_076590,2771,3593,2712,2712,1622,2682,2416
TGRH88_069270,3708,1699,3662,3662,684,2683,2417
TGRH88_042840,2597,3583,2534,2534,2167,2683,2417
TGRH88_026370,1512,4334,1415,1415,4746,2684.4,2419
TGRH88_070800,2767,3421,2709,2709,1819,2685,2420
TGRH88_055270,965,5100,861,861,5641,2685.6,2421
TGRH88_018180,1447,3451,1338,1338,5860,2686.8,2422
TGRH88_072780,3749,1558,3705,3705,720,2687.4,2423
TGRH88_027080,3323,1567,3271,3271,2007,2687.8,2424
TGRH88_043490,1011,5215,907,907,5404,2688.8,2425
TGRH88_041230,3211,1737,3159,3159,2179,2689,2426
TGRH88_064550,3601,1236,3555,3555,1499,2689.2,2427
TGRH88_056310,3054,1280,3961,3961,1192,2689.6,2428
TGRH88_004620,2042,3743,1964,1964,3738,2690.2,2429
TGRH88_082130,3086,2267,3037,3037,2025,2690.4,2430
TGRH88_036970,2169,3006,2195,2195,3895,2692,2431
TGRH88_060120,3194,1904,3141,3141,2081,2692.2,2432
TGRH88_008640,1575,4597,1481,1481,4328,2692.4,2433
TGRH88_026340,3343,1310,3293,3293,2223,2692.4,2433
TGRH88_028110,2795,3140,2737,2737,2055,2692.8,2435
TGRH88_079830,2551,2825,2485,2485,3123,2693.8,2436
TGRH88_031070,3570,1145,3522,3522,1712,2694.2,2437
TGRH88_023540,2216,3644,2148,2148,3317,2694.6,2438
TGRH88_043590,1849,3835,1757,1757,4279,2695.4,2439
TGRH88_017200,1991,4367,1909,1909,3304,2696,2440
TGRH88_054370,3679,1066,4093,4093,551,2696.4,2441
TGRH88_057430,2979,2664,3292,3292,1262,2697.8,2442
TGRH88_030600,3598,1576,3552,3552,1212,2698,2443
TGRH88_027970,2311,4064,2251,2251,2616,2698.6,2444
TGRH88_019630,3090,2183,3041,3041,2142,2699.4,2445
TGRH88_023800,1818,4697,1723,1723,3537,2699.6,2446
TGRH88_032300,1179,4849,1079,1079,5313,2699.8,2447
TGRH88_078400,1855,3916,1762,1762,4206,2700.2,2448
TGRH88_049300,1665,1734,3884,3884,2336,2700.6,2449
TGRH88_042510,1561,4536,1467,1467,4474,2701,2450
TGRH88_015750,1926,3292,1838,1838,4611,2701,2450
TGRH88_083300,1667,3113,1574,1574,5578,2701.2,2452
TGRH88_010370,2312,3259,2252,2252,3437,2702.4,2453
TGRH88_028400,2465,1923,3953,3953,1218,2702.4,2453
TGRH88_007820,2419,2760,2355,2355,3624,2702.6,2455
TGRH88_014960,2017,3717,1935,1935,3909,2702.6,2455
TGRH88_022390,2927,2276,2870,2870,2574,2703.4,2457
TGRH88_008440,3217,1399,3164,3164,2578,2704.4,2458
TGRH88_032040,1312,3851,1200,1200,5960,2704.6,2459
TGRH88_055930,3585,1512,3537,3537,1359,2706,2460
TGRH88_055280,2760,3372,2703,2703,2003,2708.2,2461
TGRH88_080680,2825,4022,2768,2768,1172,2711,2462
TGRH88_059800,1680,4704,1584,1584,4016,2713.6,2463
TGRH88_077350,1345,5162,1229,1229,4609,2714.8,2464
TGRH88_005530,2722,739,4153,4153,1817,2716.8,2465
TGRH88_071800,4261,304,4222,4222,578,2717.4,2466
TGRH88_070090,3022,2354,2970,2970,2271,2717.4,2466
TGRH88_080580,3411,2465,3359,3359,999,2718.6,2468
TGRH88_020420,1727,4275,1633,1633,4326,2718.8,2469
TGRH88_075180,3279,2164,3229,3229,1694,2719,2470
TGRH88_055640,1343,4427,1226,1226,5374,2719.2,2471
TGRH88_024130,3161,2008,3108,3108,2215,2720,2472
TGRH88_006870,1633,2904,1540,1540,5989,2721.2,2473
TGRH88_000020,1823,2916,1729,1729,5420,2723.4,2474
TGRH88_043800,1880,4215,1788,1788,3953,2724.8,2475
TGRH88_043850,2902,3065,2845,2845,1969,2725.2,2476
TGRH88_073280,1229,5322,1127,1127,4840,2729,2477
TGRH88_012080,2656,2884,2593,2593,2919,2729,2477
TGRH88_073000,2961,3430,2907,2907,1443,2729.6,2479
TGRH88_047380,3195,1996,3262,3262,1933,2729.6,2479
TGRH88_078000,2231,4503,2165,2165,2590,2730.8,2481
TGRH88_034710,3436,1516,3386,3386,1930,2730.8,2481
TGRH88_032920,3430,1218,3379,3379,2253,2731.8,2483
TGRH88_065310,3912,881,3872,3872,1127,2732.8,2484
TGRH88_041910,1397,3627,1281,1281,6084,2734,2485
TGRH88_020260,819,5041,715,715,6391,2736.2,2486
TGRH88_038530,3155,2225,3372,3372,1570,2738.8,2487
TGRH88_024740,2804,2780,2746,2746,2618,2738.8,2487
TGRH88_054520,3482,2044,3432,3432,1304,2738.8,2487
TGRH88_017720,2078,3649,2317,2317,3337,2739.6,2490
TGRH88_064890,3425,2358,3375,3375,1167,2740,2491
TGRH88_042140,2162,4624,2089,2089,2745,2741.8,2492
TGRH88_058400,2726,3669,2664,2664,1987,2742,2493
TGRH88_010850,2383,3479,2319,2319,3212,2742.4,2494
TGRH88_029950,2195,3174,2124,2124,4096,2742.6,2495
TGRH88_034150,3604,1811,3558,3558,1191,2744.4,2496
TGRH88_013980,1900,3405,1807,1807,4810,2745.8,2497
TGRH88_053900,2466,948,3816,3816,2688,2746.8,2498
TGRH88_013100,1993,4776,1912,1912,3141,2746.8,2498
TGRH88_055020,3576,1416,3527,3527,1698,2748.8,2500
TGRH88_040410,2407,3291,2343,2343,3363,2749.4,2501
TGRH88_013120,2960,1991,2906,2906,2987,2750,2502
TGRH88_065730,2695,4021,2633,2631,1776,2751.2,2503
TGRH88_005910,3096,1654,3046,3046,2918,2752,2504
TGRH88_011360,1318,4440,1209,1209,5585,2752.2,2505
TGRH88_036190,3487,1594,3437,3437,1808,2752.6,2506
TGRH88_000370,1866,3379,1776,1776,4967,2752.8,2507
TGRH88_045110,1726,4812,1632,1632,3966,2753.6,2508
TGRH88_082580,3379,1903,3328,3328,1832,2754,2509
TGRH88_078140,3483,2410,3433,3433,1012,2754.2,2510
TGRH88_039250,2409,3756,2344,2345,2928,2756.4,2511
TGRH88_007580,2649,2450,2586,2586,3513,2756.8,2512
TGRH88_055310,1685,4990,1589,1589,3943,2759.2,2513
TGRH88_081510,3273,3235,3222,3222,846,2759.6,2514
TGRH88_044930,862,5761,757,757,5666,2760.6,2515
TGRH88_044000,3384,1673,3332,3332,2084,2761,2516
TGRH88_022160,1793,3424,1693,1693,5203,2761.2,2517
TGRH88_082860,2875,3943,2817,2817,1361,2762.6,2518
TGRH88_008350,3258,1365,3207,3207,2781,2763.6,2519
TGRH88_085650,1401,5464,1284,1284,4400,2766.6,2520
TGRH88_041960,3311,2791,3258,3258,1227,2769,2521
TGRH88_062310,3275,2846,3224,3224,1277,2769.2,2522
TGRH88_036300,3017,2203,2965,2964,2697,2769.2,2522
TGRH88_000790,1887,3172,1794,1794,5200,2769.4,2524
TGRH88_068840,2215,3265,2147,2147,4073,2769.4,2524
TGRH88_008600,1654,3876,1563,1563,5192,2769.6,2526
TGRH88_015340,1976,3513,1895,1895,4570,2769.8,2527
TGRH88_013080,854,4676,749,749,6837,2773,2528
TGRH88_024550,1860,3621,1769,1769,4850,2773.8,2529
TGRH88_058300,1470,5135,1366,1366,4537,2774.8,2530
TGRH88_062640,2500,3691,2433,2433,2818,2775,2531
TGRH88_062080,3348,2423,3298,3299,1511,2775.8,2532
TGRH88_066340,2113,4074,2035,2035,3623,2776,2533
TGRH88_072500,2781,3079,2722,2722,2592,2779.2,2534
TGRH88_077540,2513,4802,2449,2449,1692,2781,2535
TGRH88_064490,2885,1892,2997,2997,3135,2781.2,2536
TGRH88_080220,2962,3056,2908,2908,2075,2781.8,2537
TGRH88_030610,982,4541,879,879,6642,2784.6,2538
TGRH88_070660,878,6300,775,775,5204,2786.4,2539
TGRH88_053850,2184,4540,2114,2114,2985,2787.4,2540
TGRH88_081220,2514,4177,2450,2450,2349,2788,2541
TGRH88_087845,2435,3212,2374,2374,3545,2788,2541
TGRH88_035380,2602,2752,2538,2538,3522,2790.4,2543
TGRH88_078690,1681,3522,1585,1585,5594,2793.4,2544
TGRH88_048250,2827,1493,2816,2816,4018,2794,2545
TGRH88_058950,3398,2325,3346,3346,1556,2794.2,2546
TGRH88_060410,2652,4245,2589,2589,1899,2794.8,2547
TGRH88_086370,1745,4485,1651,1651,4444,2795.2,2548
TGRH88_046110,1586,3775,1490,1490,5635,2795.2,2548
TGRH88_028270,2263,2942,2200,2200,4375,2796,2550
TGRH88_013610,3179,1808,3126,3126,2744,2796.6,2551
TGRH88_052520,3412,2059,3360,3360,1795,2797.2,2552
TGRH88_080610,3986,1024,3947,3947,1087,2798.2,2553
TGRH88_069050,2223,4421,2155,2155,3038,2798.4,2554
TGRH88_051350,1754,3572,1658,1658,5367,2801.8,2555
TGRH88_020410,3010,2155,2958,2958,2931,2802.4,2556
TGRH88_081880,1453,5519,1343,1343,4360,2803.6,2557
TGRH88_080720,2386,3710,2322,2322,3284,2804.8,2558
TGRH88_006860,1272,4505,1163,1163,5930,2806.6,2559
TGRH88_046750,2314,2971,2255,2255,4253,2809.6,2560
TGRH88_080320,2517,4761,2453,2453,1870,2810.8,2561
TGRH88_065650,1881,3719,1789,1789,4882,2812,2562
TGRH88_057970,2819,3755,2762,2762,1963,2812.2,2563
TGRH88_065470,981,6138,878,878,5186,2812.2,2563
TGRH88_062480,2504,4014,2438,2438,2669,2812.6,2565
TGRH88_037010,4094,246,4055,4055,1617,2813.4,2566
TGRH88_044460,2608,758,4737,4737,1229,2813.8,2567
TGRH88_036070,2922,2711,2865,2865,2717,2816,2568
TGRH88_082390,4188,344,4146,4146,1266,2818,2569
TGRH88_066970,2238,5283,2172,2172,2226,2818.2,2570
TGRH88_072900,2290,4886,2230,2230,2456,2818.4,2571
TGRH88_000170,1131,4412,1032,1032,6496,2820.6,2572
TGRH88_077660,3287,3110,3237,3237,1243,2822.8,2573
TGRH88_079650,4495,213,4456,4456,497,2823.4,2574
TGRH88_011630,2567,3180,2503,2503,3365,2823.6,2575
TGRH88_038460,3124,2360,3072,3072,2491,2823.8,2576
TGRH88_032830,3587,1919,3538,3539,1553,2827.2,2577
TGRH88_021250,2679,3910,2617,2617,2320,2828.6,2578
TGRH88_047650,950,5309,849,849,6191,2829.6,2579
TGRH88_039890,3184,2588,3130,3130,2116,2829.6,2579
TGRH88_049290,3443,2243,3393,3392,1686,2831.4,2581
TGRH88_044040,2687,4348,2625,2625,1886,2834.2,2582
TGRH88_057690,3265,792,3837,3837,2445,2835.2,2583
TGRH88_064830,1771,4543,1674,1674,4516,2835.6,2584
TGRH88_042160,4159,875,4119,4119,908,2836,2585
TGRH88_073130,2488,1790,3480,3480,2945,2836.6,2586
TGRH88_038010,2096,3013,2015,2015,5047,2837.2,2587
TGRH88_040790,3842,1339,3802,3802,1402,2837.4,2588
TGRH88_047590,1036,5694,936,936,5587,2837.8,2589
TGRH88_075190,2562,4927,2498,2498,1709,2838.8,2590
TGRH88_068870,3685,1802,3637,3637,1436,2839.4,2591
TGRH88_080490,1890,4433,1798,1798,4280,2839.8,2592
TGRH88_075720,3241,3199,3190,3190,1391,2842.2,2593
TGRH88_072830,3553,2280,3505,3505,1368,2842.2,2593
TGRH88_059590,2359,3344,2886,2886,2737,2842.4,2595
TGRH88_016990,2890,2895,2832,2832,2766,2843,2596
TGRH88_050960,3465,2103,3415,3415,1822,2844,2597
TGRH88_062840,2626,3670,2561,2561,2802,2844,2597
TGRH88_015580,2569,3258,2506,2506,3390,2845.8,2599
TGRH88_051600,2594,3389,2531,2532,3190,2847.2,2600
TGRH88_050980,2876,3909,2819,2819,1823,2849.2,2601
TGRH88_062850,3863,1259,3823,3823,1483,2850.2,2602
TGRH88_037160,2752,2479,2695,2695,3631,2850.4,2603
TGRH88_046640,3574,1352,3525,3525,2280,2851.2,2604
TGRH88_030180,2218,4872,2150,2150,2874,2852.8,2605
TGRH88_083700,1396,5771,1280,1280,4542,2853.8,2606
TGRH88_080870,1817,4139,1722,1722,4869,2853.8,2606
TGRH88_071300,3314,3297,3261,3261,1138,2854.2,2608
TGRH88_030210,3670,1162,3625,3625,2190,2854.4,2609
TGRH88_021890,3876,981,3833,3832,1760,2856.4,2610
TGRH88_037750,2400,3369,2335,2335,3852,2858.2,2611
TGRH88_052410,2424,4808,2361,2361,2340,2858.8,2612
TGRH88_044190,2999,3158,2947,2948,2244,2859.2,2613
TGRH88_059990,3127,2476,3075,3075,2543,2859.2,2613
TGRH88_008990,2905,2388,2931,2931,3143,2859.6,2615
TGRH88_041350,2595,3811,2532,2531,2836,2861,2616
TGRH88_036080,3401,1650,3349,3349,2558,2861.4,2617
TGRH88_018160,1585,4481,1509,1509,5224,2861.6,2618
TGRH88_039240,1543,4248,1449,1449,5620,2861.8,2619
